"","p.val","adj.p.val","test.statistic","fold.change","num.genes","num.genes.dn","num.genes.up","percentage.dn","percentage.up"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0,0,0.941252323956649,0.0519886678610801,113,35,78,0.309734513274336,0.690265486725664
"KEGG_RIBOSOME",0,0,2.64503418369924,0.0701107054896794,85,13,72,0.152941176470588,0.847058823529412
"KEGG_PROTEASOME",0,0,1.07059814037206,0.0458133543323339,40,10,30,0.25,0.75
"KEGG_ALZHEIMERS_DISEASE",0,0,0.512537458707543,0.0337544033739634,144,55,89,0.381944444444444,0.618055555555556
"KEGG_PARKINSONS_DISEASE",0,0,0.95349586989652,0.047319807255846,112,34,78,0.303571428571429,0.696428571428571
"KEGG_HUNTINGTONS_DISEASE",0,0,0.71833298005466,0.0377786834784943,159,51,108,0.320754716981132,0.679245283018868
"KEGG_MAPK_SIGNALING_PATHWAY",2e-05,0.000502857142857143,-0.382774799465903,-0.0283337425028048,206,120,86,0.58252427184466,0.41747572815534
"KEGG_PURINE_METABOLISM",4e-05,0.00088,0.437343782988544,0.0280154946663615,137,43,94,0.313868613138686,0.686131386861314
"KEGG_CARDIAC_MUSCLE_CONTRACTION",6e-05,0.00117333333333333,0.74944286603966,0.0408699373492087,53,18,35,0.339622641509434,0.660377358490566
"KEGG_PYRIMIDINE_METABOLISM",0.00028,0.004928,0.501020730946148,0.0348866720597647,89,24,65,0.269662921348315,0.730337078651685
"KEGG_ECM_RECEPTOR_INTERACTION",0.00032,0.00512,-0.55865191376981,-0.0163524718229834,69,41,28,0.594202898550725,0.405797101449275
"KEGG_MISMATCH_REPAIR",0.00036,0.00528,1.05203959763193,0.0501764003523237,22,6,16,0.272727272727273,0.727272727272727
"KEGG_FOCAL_ADHESION",4e-04,0.00541538461538462,-0.350861008323793,-0.00848516789545161,172,94,78,0.546511627906977,0.453488372093023
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",6e-04,0.00754285714285714,0.724616360287682,0.0294471862798229,40,11,29,0.275,0.725
"KEGG_RNA_POLYMERASE",0.00072,0.008448,0.843820812320618,0.0619899772694364,28,4,24,0.142857142857143,0.857142857142857
"KEGG_PROPANOATE_METABOLISM",0.00156,0.01716,0.77952070694555,0.039460102748123,29,4,25,0.137931034482759,0.862068965517241
"KEGG_FATTY_ACID_METABOLISM",0.00272,0.0265955555555556,0.690052993550061,0.0492686108991607,33,8,25,0.242424242424242,0.757575757575758
"KEGG_ONE_CARBON_POOL_BY_FOLATE",0.00272,0.0265955555555556,1.06231154773517,0.0475996733067174,14,4,10,0.285714285714286,0.714285714285714
"KEGG_LONG_TERM_POTENTIATION",0.00288,0.0266778947368421,-0.515266992885151,-0.0264083476021559,56,29,27,0.517857142857143,0.482142857142857
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",0.00574,0.050512,1.03224060521286,0.0537056597004862,13,3,10,0.230769230769231,0.769230769230769
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.00706,0.0591695238095238,0.550840055385663,0.0343744049628414,40,8,32,0.2,0.8
"KEGG_DNA_REPLICATION",0.00952,0.0754504347826087,0.567162262977738,0.030710713061499,34,11,23,0.323529411764706,0.676470588235294
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.00986,0.0754504347826087,-0.260143246031004,-0.0140316630134641,167,92,75,0.550898203592814,0.449101796407186
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.01172,0.0859466666666667,0.453883728756574,0.041405714601598,51,18,33,0.352941176470588,0.647058823529412
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.01766,0.1243264,0.470617760387478,0.027527926517481,42,14,28,0.333333333333333,0.666666666666667
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.0204,0.138092307692308,0.557149192614419,0.0252409894217647,29,9,20,0.310344827586207,0.689655172413793
"KEGG_RNA_DEGRADATION",0.02432,0.152868571428571,0.387897041627013,0.0254368283692294,56,20,36,0.357142857142857,0.642857142857143
"KEGG_ALLOGRAFT_REJECTION",0.02408,0.152868571428571,-0.808586879782953,-0.0399520438459456,13,10,3,0.769230769230769,0.230769230769231
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.02646,0.160584827586207,-0.628381049339862,-0.0559856424067004,21,16,5,0.761904761904762,0.238095238095238
"KEGG_LONG_TERM_DEPRESSION",0.02842,0.166730666666667,-0.433391309221463,-0.0346867128519138,43,25,18,0.581395348837209,0.418604651162791
"KEGG_TYPE_I_DIABETES_MELLITUS",0.0306,0.173729032258065,-0.679532480723295,-0.043697223656083,17,13,4,0.764705882352941,0.235294117647059
"KEGG_BETA_ALANINE_METABOLISM",0.03302,0.17792,0.645411404155842,0.00856689519801375,18,3,15,0.166666666666667,0.833333333333333
"KEGG_SMALL_CELL_LUNG_CANCER",0.03336,0.17792,-0.304928346267779,-0.0117790472740989,80,46,34,0.575,0.425
"KEGG_SELENOAMINO_ACID_METABOLISM",0.03636,0.182838857142857,0.55007401498249,0.0286752803170449,24,8,16,0.333333333333333,0.666666666666667
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.03572,0.182838857142857,-0.252467835511609,-0.0115872832437477,115,67,48,0.582608695652174,0.417391304347826
"KEGG_AXON_GUIDANCE",0.03744,0.18304,-0.25089113704414,-0.0175472357804426,114,69,45,0.605263157894737,0.394736842105263
"KEGG_BUTANOATE_METABOLISM",0.04664,0.190898604651163,0.500581790997677,0.0117228250261352,26,7,19,0.269230769230769,0.730769230769231
"KEGG_GAP_JUNCTION",0.04172,0.190898604651163,-0.320468560629415,-0.0249597396928389,67,36,31,0.537313432835821,0.462686567164179
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.0448,0.190898604651163,-0.279847894009601,-0.0211538746074861,84,50,34,0.595238095238095,0.404761904761905
"KEGG_INSULIN_SIGNALING_PATHWAY",0.04576,0.190898604651163,-0.235513995085244,-0.00362581733007707,119,67,52,0.563025210084034,0.436974789915966
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.0427,0.190898604651163,-0.350490986457201,-0.0136994277170713,55,36,19,0.654545454545455,0.345454545454545
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.0465,0.190898604651163,-0.740807382537433,-0.022811645518743,12,9,3,0.75,0.25
"KEGG_VIRAL_MYOCARDITIS",0.0427,0.190898604651163,-0.381733104637246,-0.0183299210198203,46,28,18,0.608695652173913,0.391304347826087
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.04974,0.19896,0.449280778204981,0.0419932911793868,31,12,19,0.387096774193548,0.612903225806452
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.05512,0.215580444444444,-0.265757615415014,-0.0125608561251854,86,51,35,0.593023255813954,0.406976744186047
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",0.06086,0.218599183673469,0.753311172162585,0.0377643268744597,10,1,9,0.1,0.9
"KEGG_HOMOLOGOUS_RECOMBINATION",0.059,0.218599183673469,0.472642605403925,0.019375238374144,26,9,17,0.346153846153846,0.653846153846154
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.05954,0.218599183673469,-0.278664095991113,-0.0169101696885516,75,45,30,0.6,0.4
"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.06002,0.218599183673469,-0.285604473653153,-0.0171777574955636,71,41,30,0.577464788732394,0.422535211267606
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.06938,0.2442176,-0.579108566154289,-0.00707445398618392,16,11,5,0.6875,0.3125
"KEGG_TRYPTOPHAN_METABOLISM",0.07142,0.246469019607843,0.443559175749309,0.0204932612933169,27,7,20,0.259259259259259,0.740740740740741
"KEGG_GLUTATHIONE_METABOLISM",0.07348,0.248701538461538,0.361814117297807,0.0238541722930225,40,14,26,0.35,0.65
"KEGG_P53_SIGNALING_PATHWAY",0.07912,0.26016,-0.279532883209051,-0.0282047515877754,64,37,27,0.578125,0.421875
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.0813,0.26016,-0.278229628270327,-0.0115540366836496,64,38,26,0.59375,0.40625
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.08024,0.26016,0.362563068626921,0.018650253957409,38,15,23,0.394736842105263,0.605263157894737
"KEGG_PPAR_SIGNALING_PATHWAY",0.09396,0.287148474576271,0.296176045497422,0.0116962414783942,52,24,28,0.461538461538462,0.538461538461538
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.0962,0.287148474576271,-0.20958956692265,-0.0214592413885393,104,56,48,0.538461538461538,0.461538461538462
"KEGG_PEROXISOME",0.09622,0.287148474576271,0.259651644736622,0.0186894152732352,68,24,44,0.352941176470588,0.647058823529412
"KEGG_GLIOMA",0.09626,0.287148474576271,-0.276598889977454,-0.00748855781437882,59,31,28,0.525423728813559,0.474576271186441
"KEGG_ENDOCYTOSIS",0.10608,0.306066885245902,-0.163143215924447,-0.0144172197647084,161,85,76,0.527950310559006,0.472049689440994
"KEGG_GNRH_SIGNALING_PATHWAY",0.10462,0.306066885245902,-0.240352994331743,-0.0202146467125436,75,41,34,0.546666666666667,0.453333333333333
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.10962,0.30624,-0.281418938420818,-0.0168669494345436,53,28,25,0.528301886792453,0.471698113207547
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.10914,0.30624,-0.265227448347963,-0.0220364722385806,60,34,26,0.566666666666667,0.433333333333333
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.11162,0.306955,-0.450548006628769,-0.0358041796598594,20,14,6,0.7,0.3
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.11602,0.307448358208955,-0.227498766368406,-0.0166643992289552,78,36,42,0.461538461538462,0.538461538461538
"KEGG_WNT_SIGNALING_PATHWAY",0.11404,0.307448358208955,-0.185251927570463,-0.0156644455507726,121,70,51,0.578512396694215,0.421487603305785
