"","p.val","adj.p.val","test.statistic","fold.change","num.genes","num.genes.dn","num.genes.up","percentage.dn","percentage.up"
"KEGG_SPLICEOSOME",0,0,-1.07939941791619,-0.14069862762717,124,91,33,0.733870967741935,0.266129032258065
"KEGG_LYSOSOME",0,0,0.61152858940827,0.0794636008353508,110,37,73,0.336363636363636,0.663636363636364
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",2e-05,0.00088,1.36374057038729,0.199586813867535,24,2,22,0.0833333333333333,0.916666666666667
"KEGG_SPHINGOLIPID_METABOLISM",2e-05,0.00088,1.04267309517245,0.157394362249214,34,6,28,0.176470588235294,0.823529411764706
"KEGG_N_GLYCAN_BIOSYNTHESIS",4e-05,0.001408,0.87369836028711,0.10542806146389,45,10,35,0.222222222222222,0.777777777777778
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.00066,0.01584,1.15341960107682,0.171813249036025,18,2,16,0.111111111111111,0.888888888888889
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.00072,0.01584,0.437054716820598,0.0520601612575222,127,44,83,0.346456692913386,0.653543307086614
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.00068,0.01584,0.589972516646932,0.085106743854549,65,17,48,0.261538461538462,0.738461538461539
"KEGG_VEGF_SIGNALING_PATHWAY",0.00088,0.0172088888888889,0.619298271748117,0.0561159452240036,58,15,43,0.258620689655172,0.741379310344828
"KEGG_LONG_TERM_DEPRESSION",0.00132,0.02112,0.702451413615787,0.0806368824370211,43,13,30,0.302325581395349,0.697674418604651
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.0012,0.02112,0.556686114039924,0.0602820841576759,73,22,51,0.301369863013699,0.698630136986301
"KEGG_ETHER_LIPID_METABOLISM",0.00146,0.0214133333333333,1.06212767694307,0.149855088486073,19,3,16,0.157894736842105,0.842105263157895
